input_name,query_used,param,matched_name,ticker,exchange,cik,http_status,endpoint_used,source
HBIS Group,HBIS Group,q,N/A,N/A,N/A,,ERR,,none
Intesa Sanpaolo,Intesa Sanpaolo,q,N/A,N/A,N/A,,ERR,,none
China Huaneng Group,China Huaneng Group,q,N/A,N/A,N/A,,ERR,,none
Chubb,Chubb,q,N/A,N/A,N/A,,ERR,,none
HDFC Bank,HDFC Bank,q,N/A,N/A,N/A,,ERR,,none
BHP Group,BHP Group,q,N/A,N/A,N/A,,ERR,,none
Repsol,Repsol,q,N/A,N/A,N/A,,ERR,,none
Panasonic Holdings,Panasonic Holdings,q,N/A,N/A,N/A,,ERR,,none
Maersk Group,Maersk Group,q,N/A,N/A,N/A,,ERR,,none
Tokio Marine Holdings,Tokio Marine Holdings,q,N/A,N/A,N/A,,ERR,,none
Charter Communications,Charter Communications,q,N/A,N/A,N/A,,ERR,,none
State Power Investment,State Power Investment,q,N/A,N/A,N/A,,ERR,,none
PDD Holdings,PDD Holdings,q,N/A,N/A,N/A,,ERR,,none
Performance Food Group,Performance Food Group,q,N/A,N/A,N/A,,ERR,,none
American Airlines Group,American Airlines Group,q,N/A,N/A,N/A,,ERR,,none
China United Network Communications,China United Network Communications,q,N/A,N/A,N/A,,ERR,,none
AstraZeneca,AstraZeneca,q,N/A,N/A,N/A,,ERR,,none
Capital One Financial,Capital One Financial,q,N/A,N/A,N/A,,ERR,,none
POSCO Holdings,POSCO Holdings,q,N/A,N/A,N/A,,ERR,,none
Cisco Systems,Cisco Systems,q,N/A,N/A,N/A,,ERR,,none
Rio Tinto Group,Rio Tinto Group,q,N/A,N/A,N/A,,ERR,,none
HP,HP,q,N/A,N/A,N/A,,ERR,,none
Phoenix Pharma,Phoenix Pharma,q,N/A,N/A,N/A,,ERR,,none
Sanofi,Sanofi,q,N/A,N/A,N/A,,ERR,,none
Tyson Foods,Tyson Foods,q,N/A,N/A,N/A,,ERR,,none
Bunge Global,Bunge Global,q,N/A,N/A,N/A,,ERR,,none
Intel,Intel,q,N/A,N/A,N/A,,ERR,,none
Idemitsu Kosan,Idemitsu Kosan,q,N/A,N/A,N/A,,ERR,,none
Oracle,Oracle,q,N/A,N/A,N/A,,ERR,,none
Tata Motors,Tata Motors,q,N/A,N/A,N/A,,ERR,,none
Broadcom,Broadcom,q,N/A,N/A,N/A,,ERR,,none
Bharat Petroleum,Bharat Petroleum,q,N/A,N/A,N/A,,ERR,,none
VTB Bank,VTB Bank,q,N/A,N/A,N/A,,ERR,,none
Novartis,Novartis,q,N/A,N/A,N/A,,ERR,,none
Deere,Deere,q,N/A,N/A,N/A,,ERR,,none
Jinneng Holding Group,Jinneng Holding Group,q,N/A,N/A,N/A,,ERR,,none
Nike,Nike,q,N/A,N/A,N/A,,ERR,,none
Dongfeng Motor,Dongfeng Motor,q,N/A,N/A,N/A,,ERR,,none
Jingye Group,Jingye Group,q,N/A,N/A,N/A,,ERR,,none
Banco Bradesco,Banco Bradesco,q,N/A,N/A,N/A,,ERR,,none
Marubeni,Marubeni,q,N/A,N/A,N/A,,ERR,,none
Shaanxi Yanchang Petroleum (Group),Shaanxi Yanchang Petroleum (Group),q,N/A,N/A,N/A,,ERR,,none
Deutsche Bahn,Deutsche Bahn,q,N/A,N/A,N/A,,ERR,,none
Xiaomi,Xiaomi,q,N/A,N/A,N/A,,ERR,,none
Cr�dit Mutuel Group,Cr�dit Mutuel Group,q,N/A,N/A,N/A,,ERR,,none
Louis Dreyfus,Louis Dreyfus,q,N/A,N/A,N/A,,ERR,,none
Liberty Mutual Insurance Group,Liberty Mutual Insurance Group,q,N/A,N/A,N/A,,ERR,,none
Bayer,Bayer,q,N/A,N/A,N/A,,ERR,,none
Saint-Gobain,Saint-Gobain,q,N/A,N/A,N/A,,ERR,,none
Contemporary Amperex Technology,Contemporary Amperex Technology,q,N/A,N/A,N/A,,ERR,,none
Plains GP Holdings,Plains GP Holdings,q,N/A,N/A,N/A,,ERR,,none
Talanx,Talanx,q,N/A,N/A,N/A,,ERR,,none
UniCredit Group,UniCredit Group,q,N/A,N/A,N/A,,ERR,,none
Volvo,Volvo,q,N/A,N/A,N/A,,ERR,,none
HD Hyundai,HD Hyundai,q,N/A,N/A,N/A,,ERR,,none
Shanghai Pudong Development Bank,Shanghai Pudong Development Bank,q,N/A,N/A,N/A,,ERR,,none
USAA,USAA,q,N/A,N/A,N/A,,ERR,,none
SK Hynix,SK Hynix,q,N/A,N/A,N/A,,ERR,,none
Iberdrola,Iberdrola,q,N/A,N/A,N/A,,ERR,,none
Veolia Environnement,Veolia Environnement,q,N/A,N/A,N/A,,ERR,,none
Bristol-Myers Squibb,Bristol-Myers Squibb,q,N/A,N/A,N/A,,ERR,,none
Landesbank Baden-Wurttemberg,Landesbank Baden-Wurttemberg,q,N/A,N/A,N/A,,ERR,,none
Ingram Micro Holding,Ingram Micro Holding,q,N/A,N/A,N/A,,ERR,,none
Sumitomo,Sumitomo,q,N/A,N/A,N/A,,ERR,,none
General Dynamics,General Dynamics,q,N/A,N/A,N/A,,ERR,,none
China Vanke,China Vanke,q,N/A,N/A,N/A,,ERR,,none
SoftBank Group,SoftBank Group,q,N/A,N/A,N/A,,ERR,,none
America Movil,America Movil,q,N/A,N/A,N/A,,ERR,,none
Canadian Imperial Bank of Commerce,Canadian Imperial Bank of Commerce,q,N/A,N/A,N/A,,ERR,,none
Coca-Cola,Coca-Cola,q,N/A,N/A,N/A,,ERR,,none
L'Or�al,L'Or�al,q,N/A,N/A,N/A,,ERR,,none
Denso,Denso,q,N/A,N/A,N/A,,ERR,,none
TIAA,TIAA,q,N/A,N/A,N/A,,ERR,,none
Meituan,Meituan,q,N/A,N/A,N/A,,ERR,,none
SNCF Group,SNCF Group,q,N/A,N/A,N/A,,ERR,,none
Travelers,Travelers,q,N/A,N/A,N/A,,ERR,,none
Zhejiang Communications Investment Group,Zhejiang Communications Investment Group,q,N/A,N/A,N/A,,ERR,,none
Swiss Re,Swiss Re,q,N/A,N/A,N/A,,ERR,,none
China South Industries Group,China South Industries Group,q,N/A,N/A,N/A,,ERR,,none
Raizen,Raizen,q,N/A,N/A,N/A,,ERR,,none
Taikang Insurance Group,Taikang Insurance Group,q,N/A,N/A,N/A,,ERR,,none
Ingka Group,Ingka Group,q,N/A,N/A,N/A,,ERR,,none
Eli Lilly,Eli Lilly,q,N/A,N/A,N/A,,ERR,,none
