input_name,query_used,param,matched_name,ticker,exchange,cik,http_status
Massachusetts Mutual Life Insurance,Massachusetts Mutual Life Insurance,q,N/A,N/A,N/A,,200
Dow,Dow,q,N/A,N/A,N/A,,200
ANZ Group Holdings,ANZ Group Holdings,q,N/A,N/A,N/A,,200
Continental,Continental,q,N/A,N/A,N/A,,200
Commonwealth Bank of Australia,Commonwealth Bank of Australia,q,N/A,N/A,N/A,,200
Thermo Fisher Scientific,Thermo Fisher Scientific,q,N/A,N/A,N/A,,200
Magna International,Magna International,q,N/A,N/A,N/A,,200
U.S. Bancorp,U.S. Bancorp,q,N/A,N/A,N/A,,200
Caixa Econ�mica Federal,Caixa Econ�mica Federal,q,N/A,N/A,N/A,,200
Fairfax Financial Holdings,Fairfax Financial Holdings,q,N/A,N/A,N/A,,200
J. Sainsbury,J. Sainsbury,q,N/A,N/A,N/A,,200
Zijin Mining Group,Zijin Mining Group,q,N/A,N/A,N/A,,200
World Kinect,World Kinect,q,N/A,N/A,N/A,,200
X5 Retail Group,X5 Retail Group,q,N/A,N/A,N/A,,200
Novo Nordisk,Novo Nordisk,q,N/A,N/A,N/A,,200
Olam Group,Olam Group,q,N/A,N/A,N/A,,200
Compass Group,Compass Group,q,N/A,N/A,N/A,,200
Hyundai Mobis,Hyundai Mobis,q,N/A,N/A,N/A,,200
Abbott Laboratories,Abbott Laboratories,q,N/A,N/A,N/A,,200
Standard Chartered,Standard Chartered,q,N/A,N/A,N/A,,200
Shanghai Construction Group,Shanghai Construction Group,q,N/A,N/A,N/A,,200
Inditex,Inditex,q,N/A,N/A,N/A,,200
Best Buy,Best Buy,q,N/A,N/A,N/A,,200
Northwestern Mutual,Northwestern Mutual,q,N/A,N/A,N/A,,200
Schneider Electric,Schneider Electric,q,N/A,N/A,N/A,,200
KB Financial Group,KB Financial Group,q,N/A,N/A,N/A,,200
Northrop Grumman,Northrop Grumman,q,N/A,N/A,N/A,,200
National Australia Bank,National Australia Bank,q,N/A,N/A,N/A,,200
Hanwha,Hanwha,q,N/A,N/A,N/A,,200
Molina Healthcare,Molina Healthcare,q,N/A,N/A,N/A,,200
Lufthansa Group,Lufthansa Group,q,N/A,N/A,N/A,,200
Dollar General,Dollar General,q,N/A,N/A,N/A,,200
LyondellBasell Industries,LyondellBasell Industries,q,N/A,N/A,N/A,,200
China Minsheng Banking,China Minsheng Banking,q,N/A,N/A,N/A,,200
GSK,GSK,q,N/A,N/A,N/A,,200
Bank of New York (BNY),Bank of New York (BNY),q,N/A,N/A,N/A,,200
Haier Smart Home,Haier Smart Home,q,N/A,N/A,N/A,,200
Cenovus Energy,Cenovus Energy,q,N/A,N/A,N/A,,200
Coop Group,Coop Group,q,N/A,N/A,N/A,,200
S.F. Holding,S.F. Holding,q,N/A,N/A,N/A,,200
Hangzhou Industrial Investment Group,Hangzhou Industrial Investment Group,q,N/A,N/A,N/A,,200
Warner Bros. Discovery,Warner Bros. Discovery,q,N/A,N/A,N/A,,200
CHS,CHS,q,N/A,N/A,N/A,,200
Enbridge,Enbridge,q,N/A,N/A,N/A,,200
Netflix,Netflix,q,N/A,N/A,N/A,,200
Qualcomm,Qualcomm,q,N/A,N/A,N/A,,200
KDDI,KDDI,q,N/A,N/A,N/A,,200
Shandong Hi-Speed Group,Shandong Hi-Speed Group,q,N/A,N/A,N/A,,200
General Electric (GE Aerospace),General Electric (GE Aerospace),q,N/A,N/A,N/A,,200
